"Date","Price","Open","High","Low","Vol.","Change %"
"15/04/1996","54.150","54.150","54.150","54.150","","0.09%"
"12/04/1996","54.100","54.100","54.100","54.100","","0.00%"
"11/04/1996","54.100","54.100","54.100","54.100","","0.77%"
"10/04/1996","53.685","53.685","53.685","53.685","","0.00%"
"09/04/1996","53.685","53.685","53.685","53.685","","0.00%"
"08/04/1996","53.685","53.685","53.685","53.685","","0.00%"
"05/04/1996","53.685","53.685","53.685","53.685","","0.00%"
"04/04/1996","53.685","53.685","53.685","53.685","","0.00%"
"03/04/1996","53.685","53.685","53.685","53.685","","0.00%"
"02/04/1996","53.685","53.685","53.685","53.685","","0.00%"
"01/04/1996","53.685","53.685","53.685","53.685","","0.00%"
"29/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"28/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"27/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"26/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"25/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"22/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"21/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"20/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"19/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"18/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"15/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"14/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"13/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"12/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"11/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"08/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"07/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"06/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"05/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"04/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"01/03/1996","53.685","53.685","53.685","53.685","","0.00%"
"29/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"28/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"27/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"26/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"23/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"22/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"21/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"20/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"19/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"16/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"15/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"14/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"13/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"12/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"09/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"08/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"07/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"06/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"05/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"02/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"01/02/1996","53.685","53.685","53.685","53.685","","0.00%"
"31/01/1996","53.685","53.685","53.685","53.685","","0.00%"
"30/01/1996","53.685","53.685","53.685","53.685","","-0.04%"
"29/01/1996","53.705","53.705","53.705","53.705","","-0.07%"
"26/01/1996","53.740","53.740","53.740","53.740","","0.02%"
"25/01/1996","53.730","53.730","53.730","53.730","","-0.13%"
"24/01/1996","53.800","53.800","53.800","53.800","","-0.07%"
"23/01/1996","53.840","53.840","53.840","53.840","","-0.02%"
"22/01/1996","53.850","53.850","53.850","53.850","","0.19%"
"19/01/1996","53.750","53.750","53.750","53.750","","-0.15%"
"18/01/1996","53.830","53.830","53.830","53.830","","-0.48%"
"17/01/1996","54.090","54.090","54.090","54.090","","0.05%"
"16/01/1996","54.065","54.065","54.065","54.065","","0.18%"
"15/01/1996","53.970","53.970","53.970","53.970","","0.00%"
"12/01/1996","53.970","53.970","53.970","53.970","","0.08%"
"11/01/1996","53.925","53.925","53.925","53.925","","0.14%"
"10/01/1996","53.850","53.850","53.850","53.850","","-0.05%"
"09/01/1996","53.875","53.875","53.875","53.875","","-0.07%"
"08/01/1996","53.915","53.915","53.915","53.915","","0.03%"
"05/01/1996","53.900","53.900","53.900","53.900","","0.00%"
"04/01/1996","53.900","53.900","53.900","53.900","","-0.19%"
"03/01/1996","54.000","54.000","54.000","54.000","","0.35%"
"02/01/1996","53.810","53.810","53.810","53.810","","-0.44%"
"29/12/1995","54.050","54.050","54.050","54.050","","0.00%"
"28/12/1995","54.050","54.050","54.050","54.050","","0.02%"
"27/12/1995","54.040","54.040","54.040","54.040","","0.86%"
"26/12/1995","53.580","53.580","53.580","53.580","","-0.85%"
"25/12/1995","54.040","54.040","54.040","54.040","","0.00%"
"22/12/1995","54.040","54.040","54.040","54.040","","0.35%"
"21/12/1995","53.850","53.850","53.850","53.850","","0.00%"
"20/12/1995","53.850","53.850","53.850","53.850","","0.07%"
"19/12/1995","53.815","53.815","53.815","53.815","","0.03%"
"18/12/1995","53.800","53.800","53.800","53.800","","0.00%"
"15/12/1995","53.800","53.800","53.800","53.800","","-0.19%"
"14/12/1995","53.900","53.900","53.900","53.900","","-0.24%"
"13/12/1995","54.030","54.030","54.030","54.030","","0.12%"
"12/12/1995","53.965","53.965","53.965","53.965","","0.12%"
"11/12/1995","53.900","53.900","53.900","53.900","","0.47%"
"08/12/1995","53.650","53.650","53.650","53.650","","-0.19%"
"07/12/1995","53.750","53.750","53.750","53.750","","-0.09%"
"06/12/1995","53.800","53.800","53.800","53.800","","0.00%"
"05/12/1995","53.800","53.800","53.800","53.800","","0.19%"
"04/12/1995","53.700","53.700","53.700","53.700","","0.66%"
"01/12/1995","53.350","53.350","53.350","53.350","","0.19%"
"30/11/1995","53.250","53.250","53.250","53.250","","0.08%"
"29/11/1995","53.205","53.205","53.205","53.205","","0.01%"
"28/11/1995","53.200","53.200","53.200","53.200","","0.25%"
"27/11/1995","53.065","53.065","53.065","53.065","","0.17%"
"24/11/1995","52.975","52.975","52.975","52.975","","0.05%"
"23/11/1995","52.950","52.950","52.950","52.950","","-0.95%"
"22/11/1995","53.460","53.460","53.460","53.460","","0.98%"
"21/11/1995","52.940","52.940","52.940","52.940","","-0.20%"
"20/11/1995","53.045","53.045","53.045","53.045","","0.13%"
"17/11/1995","52.975","52.975","52.975","52.975","","0.23%"
"16/11/1995","52.855","52.855","52.855","52.855","","0.00%"
"15/11/1995","52.855","52.855","52.855","52.855","","-0.09%"
"14/11/1995","52.905","52.905","52.905","52.905","","0.15%"
"13/11/1995","52.825","52.825","52.825","52.825","","0.10%"
"10/11/1995","52.770","52.770","52.770","52.770","","-0.06%"
"09/11/1995","52.800","52.800","52.800","52.800","","-0.09%"
"08/11/1995","52.850","52.850","52.850","52.850","","-0.09%"
"07/11/1995","52.900","52.900","52.900","52.900","","-0.28%"
"06/11/1995","53.050","53.050","53.050","53.050","","0.00%"
"03/11/1995","53.050","53.050","53.050","53.050","","0.19%"
"02/11/1995","52.950","52.950","52.950","52.950","","0.70%"
"01/11/1995","52.580","52.580","52.580","52.580","","-0.01%"
"31/10/1995","52.585","52.585","52.585","52.585","","-0.01%"
"30/10/1995","52.590","52.590","52.590","52.590","","0.12%"
"27/10/1995","52.525","52.525","52.525","52.525","","0.08%"
"26/10/1995","52.485","52.485","52.485","52.485","","0.22%"
"25/10/1995","52.370","52.370","52.370","52.370","","-0.01%"
"24/10/1995","52.375","52.375","52.375","52.375","","0.07%"
"23/10/1995","52.340","52.340","52.340","52.340","","0.00%"
"20/10/1995","52.340","52.340","52.340","52.340","","0.00%"
"19/10/1995","52.340","52.340","52.340","52.340","","0.17%"
"18/10/1995","52.250","52.250","52.250","52.250","","0.00%"
"17/10/1995","52.250","52.250","52.250","52.250","","0.04%"
"16/10/1995","52.230","52.230","52.230","52.230","","0.12%"
"13/10/1995","52.170","52.170","52.170","52.170","","-0.04%"
"12/10/1995","52.190","52.190","52.190","52.190","","0.12%"
"11/10/1995","52.130","52.130","52.130","52.130","","0.16%"
"10/10/1995","52.045","52.045","52.045","52.045","","-0.11%"
"09/10/1995","52.100","52.100","52.100","52.100","","-0.19%"
"06/10/1995","52.200","52.200","52.200","52.200","","-0.57%"
"05/10/1995","52.500","52.500","52.500","52.500","","-0.13%"
"04/10/1995","52.570","52.570","52.570","52.570","","-0.12%"
"03/10/1995","52.635","52.635","52.635","52.635","","-0.20%"
"02/10/1995","52.740","52.740","52.740","52.740","","0.38%"
"29/09/1995","52.540","52.540","52.540","52.540","","-0.21%"
"28/09/1995","52.650","52.650","52.650","52.650","","0.10%"
"27/09/1995","52.600","52.600","52.600","52.600","","0.33%"
"26/09/1995","52.425","52.425","52.425","52.425","","0.00%"
"25/09/1995","52.425","52.425","52.425","52.425","","0.26%"
"22/09/1995","52.290","52.290","52.290","52.290","","-0.87%"
"21/09/1995","52.750","52.750","52.750","52.750","","-0.66%"
"20/09/1995","53.100","53.100","53.100","53.100","","0.87%"
"19/09/1995","52.640","52.640","52.640","52.640","","-0.14%"
"18/09/1995","52.715","52.715","52.715","52.715","","0.89%"
"15/09/1995","52.250","52.250","52.250","52.250","","0.25%"
"14/09/1995","52.120","52.120","52.120","52.120","","0.45%"
"13/09/1995","51.885","51.885","51.885","51.885","","0.19%"
"12/09/1995","51.785","51.785","51.785","51.785","","0.18%"
"11/09/1995","51.690","51.690","51.690","51.690","","0.08%"
"08/09/1995","51.650","51.650","51.650","51.650","","0.00%"
"07/09/1995","51.650","51.650","51.650","51.650","","-0.01%"
"06/09/1995","51.653","51.653","51.653","51.653","","0.24%"
"05/09/1995","51.530","51.530","51.530","51.530","","0.11%"
"04/09/1995","51.475","51.475","51.475","51.475","","-0.12%"
"01/09/1995","51.535","51.535","51.535","51.535","","-0.22%"
"31/08/1995","51.650","51.650","51.650","51.650","","0.41%"
"30/08/1995","51.440","51.440","51.440","51.440","","0.29%"
"29/08/1995","51.290","51.290","51.290","51.290","","0.10%"
"28/08/1995","51.240","51.240","51.240","51.240","","-0.06%"
