Date,lkr_close,lkr_rsi_14,lkr_macd,lkr_macd_signal,lkr_macd_diff,lkr_bb_high,lkr_bb_low,lkr_bb_width,lkr_sma_30,lkr_ema_10,gold_close,gold_rsi_14,gold_bb_width
2022-01-03,202.875,58.71552585111518,0.1855875162744666,0.1562789059609383,0.0293086103135283,203.16259468987155,201.9249053101284,0.6110726101117072,202.5375,202.70747002135076,1801.32,50.40149111323746,3.3426362116091317
2022-01-04,202.875,58.71552585111518,0.1879122696672084,0.1626055787021923,0.025306690965016,203.1794839157455,201.92051608425453,0.6215590380108434,202.54166666666663,202.7379300174688,1814.64,55.06364338053322,3.365101545874284
2022-01-05,202.0,41.6451323531107,0.1177916374858796,0.1536427904589298,-0.0358511529730501,203.17817634792144,201.8468236520785,0.6574175400742928,202.51666666666668,202.60376092338356,1810.29,53.301556018577074,3.364175530891089
2022-01-06,202.0,41.6451323531107,0.0615114654066246,0.1352165254484688,-0.0737050600418441,203.14824889638007,201.78925110361988,0.6712136034623857,202.49166666666667,202.49398621004104,1790.98,46.22930655042547,3.2991783093169995
2022-01-07,202.875,56.35970420370231,0.0865168979324835,0.1254765999452717,-0.0389597020127882,203.1897285953889,201.78527140461108,0.6936019214903941,202.50416666666663,202.56326144457904,1795.81,48.08480961335972,3.0859394290143447
2022-01-10,202.875,56.35970420370231,0.1051221012170344,0.1214057001996243,-0.0162835989825898,203.22855101078568,201.7839489892143,0.7133616970199044,202.51666666666668,202.6199411819283,1801.74,50.35011386978283,2.970932010713029
2022-01-11,202.875,56.35970420370231,0.1185008547736856,0.1208247311144365,-0.0023238763407509,203.2500000001302,201.84999999986985,0.6911873612739456,202.52083333333331,202.6663155124868,1821.54,57.0837418561441,3.055495743944068
2022-01-12,202.875,56.3597042037023,0.1276323471069815,0.1221862543129455,0.0054460927940359,203.28234564893737,201.85515435106265,0.7045466281816629,202.525,202.7042581465801,1826.27,58.530642799631785,2.826935733814672
2022-01-13,202.875,56.3597042037023,0.1333321505349829,0.124415433557353,0.0089167169776298,203.28750000013528,201.93749999986477,0.666296502076891,202.55416666666667,202.7353021199292,1822.7,56.96947030498392,2.578731722672164
2022-01-14,202.875,56.3597042037023,0.1362783537844336,0.1267880176027692,0.0094903361816644,203.27811714833865,202.03438285166132,0.613716229663434,202.56666666666663,202.7607017344875,1816.6,54.30416455422484,2.5858632509338118
2022-01-17,202.54,48.983023517026176,0.1103099562872103,0.1234924053396574,-0.0131824490524471,203.2313127246794,202.13518727532065,0.5408071211403973,202.58466666666664,202.7205741463989,1819.255,55.28473773526255,2.5683887463353807
2022-01-18,202.445,47.10032965006069,0.0811289046151557,0.1150197051947571,-0.0338908005796013,203.2327490381911,202.1282509618089,0.544945407368832,202.5745,202.6704697561445,1813.81,52.7831445183568,2.4044078472921053
2022-01-19,202.85,55.03493678819648,0.089649403679914,0.1099456448917885,-0.0202962412118744,203.24843982430696,202.147560175693,0.5431132268764145,202.57783333333333,202.70311161866368,1840.56,61.9034209494443,2.5694341987336364
2022-01-20,202.48,47.95772176275831,0.0657876932185956,0.1011140545571499,-0.0353263613385542,203.24894564966408,202.14505435033595,0.5446016957962645,202.56466666666665,202.6625458698157,1839.6,61.44472209521925,2.8262777629557623
2022-01-21,202.5,48.34440402473925,0.0479383452136517,0.0904789126884503,-0.0425405674747986,203.24894564966405,202.1450543503359,0.5446016957962646,202.56466666666665,202.63299207530372,1831.78,57.69441377296744,2.923940978404764
2022-01-24,201.905,39.04880552374937,-0.0140568800918003,0.0695717541324001,-0.0836286342242005,203.30466903355943,202.0048309664405,0.6414051815311078,202.54483333333332,202.500629879794,1843.17,61.39078060654253,3.195983698322428
2022-01-25,201.915,39.26018961340934,-0.0616707246462908,0.0433232583766619,-0.1049939830229528,203.32293625383525,201.8905637461648,0.7069717606498762,202.542,202.39415171983143,1848.15,62.91641125788538,3.4626099329128524
2022-01-26,202.77,53.9616537273381,-0.0300670903269235,0.0286451886359448,-0.0587122789628684,203.32478887633977,201.89071112366025,0.7078099197486343,202.551,202.4624877707712,1819.45,50.52543137521514,3.378156447123327
2022-01-27,202.0,43.70266846873468,-0.0663882646883848,0.0096384979710789,-0.0760267626594637,203.31638022314672,201.8116197768533,0.7428567989837583,202.551,202.3783990851764,1797.2,43.390791122421696,3.547140930953561
2022-01-28,202.0,43.702668468734686,-0.0940884638070258,-0.011106894384542,-0.0829815694224838,203.29658417429735,201.74391582570257,0.7666731344617672,202.551,202.30959925150796,1788.87,41.0535045918588,3.792833174085749
2022-01-31,202.4,49.48828806836573,-0.082809833899347,-0.025447482287503,-0.057362351611844,203.2568689894925,201.73613101050748,0.7509946981725804,202.5643333333333,202.32603575123375,1797.35,44.340429430949854,3.8380054513837822
2022-02-01,202.41,49.62766114079216,-0.0722318778873614,-0.0348043614074747,-0.0374275164798866,203.2140892201968,201.73241077980325,0.7317897255037507,202.56133333333332,202.3413019782822,1801.11,45.783993242904224,3.913703774572394
2022-02-02,202.76,54.37294257893342,-0.0352009222895048,-0.0348836735838807,-0.0003172487056241,203.2286890219259,201.7938109780741,0.7085423865843343,202.57,202.41742889132175,1806.9,48.019677688777136,3.930068785898786
2022-02-03,202.685,53.21605687858535,-0.0117698212109473,-0.030260903109294,0.0184910818983466,203.2265205578264,201.8644794421736,0.6724618002635461,202.5761666666667,202.46607818380872,1804.86,47.27990908035402,3.766208612734992
2022-02-04,202.43,49.36984684551248,-0.0136198722609606,-0.0269326969396273,0.0133128246786667,203.18865420060445,201.85784579939556,0.6571138875210192,202.5738333333333,202.4595185140253,1808.13,48.64561275484612,3.642686493164713
2022-02-07,202.735,53.681911601741376,0.0094163540931333,-0.0196628867330752,0.0290792408262085,203.16954070878288,201.86295929121715,0.645173618198897,202.57333333333327,202.5096060569298,1820.54,53.56216853321427,3.555061467559765
2022-02-08,201.94,43.324301178157405,-0.0360614327130974,-0.0229425959290796,-0.0131188367840177,203.14678797433717,201.7922120256628,0.6690271614610219,202.54216666666667,202.4060413193062,1826.03,55.5878469155352,3.570719919202624
2022-02-09,201.865,42.49136617677371,-0.0772641268466145,-0.0338069021125866,-0.0434572247340278,203.118082255662,201.71991774433803,0.6907279016910246,202.51266666666663,202.30767017034145,1832.99,58.08415599483032,3.619084332261999
2022-02-10,202.78,54.088390711033576,-0.0356734840526939,-0.0341802185006081,-0.0014932655520858,203.1020746507515,201.72642534924853,0.6796207784298588,202.5095,202.3935483211885,1826.68,55.062419287342834,3.633647109515726
2022-02-11,202.5,50.71787617084019,-0.0250178695098384,-0.0323477487024541,0.0073298791926157,203.05178423734023,201.7392157626597,0.6485166294114828,202.497,202.41290317188145,1861.27,65.62086086043448,4.146395478036682
2022-02-14,202.475,50.41579377644636,-0.0183786516257384,-0.029553929287111,0.0111752776613725,203.04627962484983,201.7382203751501,0.6462990799794648,202.48366666666664,202.42419350426664,1871.42,67.9970464513864,4.777577521334747
2022-02-15,202.435,49.9036389878944,-0.0161584250598423,-0.0268748284416573,0.0107164033818149,203.04563282603328,201.73786717396672,0.6461556126010888,202.469,202.4261583216727,1853.55,60.11865092443899,4.943012408146921
2022-02-16,202.205,46.95022175767329,-0.0325823680630605,-0.0280163363659379,-0.0045660316971226,202.98270060990103,201.7362993900989,0.6159341270373389,202.47583333333333,202.38594771773217,1869.61,64.13993268220928,5.323935480007688
2022-02-17,202.615,52.36252393798087,-0.0123722679309992,-0.0248875226789502,0.012515254747951,202.9973987544004,201.73510124559965,0.6237687899047957,202.49633333333333,202.4275935872354,1898.4,69.98302100986983,6.285943792906279
2022-02-18,202.5,50.79708573692462,-0.0055709385633235,-0.0210242058558248,0.0154532672925013,202.9973987544004,201.73510124559965,0.6237687899047957,202.4838333333333,202.44075838955624,1897.03,69.40349057307012,7.030884590986104
2022-02-21,202.485,50.58465748687794,-0.0013753564255978,-0.0170944359697794,0.0157190795441816,202.99128250765483,201.7992174923452,0.5889787508894856,202.47083333333333,202.4488023187278,1904.075,70.74510352747077,7.770510641638724
2022-02-22,202.75,54.22654452819593,0.0230670552940353,-0.0090621377170165,0.0321291930110518,203.0091223646927,201.86487763530727,0.5652349765039876,202.46666666666667,202.50356553350457,1898.49,68.1922990335261,8.284936199550728
2022-02-23,202.5,50.44910965358193,0.0220112005980865,-0.0028474700539958,0.0248586706520824,202.97595904842032,201.8710409515797,0.545844774366912,202.45416666666668,202.50291725468557,1909.19,70.39630314905219,8.83009929092574
2022-02-24,202.42,49.26642020257267,0.0145513577383269,0.0006322955044686,0.0139190622338582,202.96178038835973,201.92721961164028,0.5110342719705624,202.439,202.48784139019725,1904.1,67.98306839158647,8.925698043527406
2022-02-25,202.5,50.51572697674671,0.0149226904523231,0.0034903744940395,0.0114323159582836,202.9450828005529,201.99391719944705,0.4697821652672903,202.4265,202.490052046525,1890.79,61.99795930826736,8.582434679595123
2022-02-28,201.99,43.21058579327664,-0.0256401991928498,-0.0023357402433383,-0.0233044589495115,202.9681493043255,201.92985069567453,0.5128692207177915,202.40816666666663,202.39913349261133,1908.82,66.32314881061463,8.440587657464919
2022-03-01,201.735,40.08895570944001,-0.0774699252773132,-0.0173625772501332,-0.0601073480271799,203.02073720067517,201.8097627993249,0.5982624339570543,202.3845,202.27838194850017,1945.135,72.9909486871931,8.785751032532673
2022-03-02,202.655,53.21963560814578,-0.0438040989870387,-0.0226508815975143,-0.0211532173895243,203.00517224412883,201.8148277558712,0.5880858101169236,202.378,202.34685795786376,1928.67,66.55662722635256,8.688435923787795
